AÑO,MUNICIPIO,TIPO DE EXPLOTACION,PRODUCCION POR VACA (LITROS/DIA),VACAS PARA ORDEÑO,TOTAL LITROS/DÍA
2018,BUENAVISTA,LECHERIA TRADICIONAL,9,500,4500
2018,BUENAVISTA,DOBLE PROPOSITO,7,700,4900
2018,BUSBANZA,LECHERIA ESPECIALIZADA,,,
2018,BUSBANZA,LECHERIA TRADICIONAL,,,
2018,BUSBANZA,DOBLE PROPOSITO,4,100,400
2018,CALDAS,LECHERIA ESPECIALIZADA,10,350,3500
2018,CALDAS,LECHERIA TRADICIONAL,8,700,5600
2018,CALDAS,DOBLE PROPOSITO,7,320,2240
2018,CAMPOHERMOSO,LECHERIA ESPECIALIZADA,,,
2018,CAMPOHERMOSO,LECHERIA TRADICIONAL,,,
2018,CAMPOHERMOSO,DOBLE PROPOSITO,4,3684,14736
2018,CERINZA,LECHERIA ESPECIALIZADA,15,954,14310
2018,CERINZA,LECHERIA TRADICIONAL,,,
2018,CERINZA,DOBLE PROPOSITO,8,1275,10200
2018,CHINAVITA,LECHERIA ESPECIALIZADA,,,
2018,CHINAVITA,LECHERIA TRADICIONAL,11,2156,23716
2018,CHINAVITA,DOBLE PROPOSITO,8,220,1760
2018,CHIQUINQUIRA,LECHERIA ESPECIALIZADA,15,8600,129000
2018,CHIQUINQUIRA,LECHERIA TRADICIONAL,,,
2018,CHIQUINQUIRA,DOBLE PROPOSITO,5,2500,12500
2018,CHIQUIZA,LECHERIA ESPECIALIZADA,,,
2018,CHIQUIZA,LECHERIA TRADICIONAL,,,
2018,CHIQUIZA,DOBLE PROPOSITO,10,1250,12500
2018,CHISCAS,LECHERIA ESPECIALIZADA,10,50,500
2018,CHISCAS,LECHERIA TRADICIONAL,2.5,807,2018
2018,CHISCAS,DOBLE PROPOSITO,3.5,1802,6307
2018,CHITA,LECHERIA ESPECIALIZADA,,,
2018,CHITA,LECHERIA TRADICIONAL,5,,
2018,CHITA,DOBLE PROPOSITO,7,,
2018,CHITARAQUE,LECHERIA ESPECIALIZADA,,,
2018,CHITARAQUE,LECHERIA TRADICIONAL,4,200,800
2018,CHITARAQUE,DOBLE PROPOSITO,,,
2018,CHIVATA,LECHERIA ESPECIALIZADA,9,172,1548
2018,CHIVATA,LECHERIA TRADICIONAL,6,822,4932
2018,CHIVATA,DOBLE PROPOSITO,,,
2018,CHIVOR,LECHERIA ESPECIALIZADA,,,
2018,CHIVOR,LECHERIA TRADICIONAL,7,540,3780
2018,CHIVOR,DOBLE PROPOSITO,9,200,1800
2018,CIENEGA,LECHERIA ESPECIALIZADA,15,250,3750
2018,CIENEGA,LECHERIA TRADICIONAL,10,1000,10000
2018,CIENEGA,DOBLE PROPOSITO,10,1000,10000
2018,COMBITA,LECHERIA ESPECIALIZADA,12,310,3720
2018,COMBITA,LECHERIA TRADICIONAL,8,3300,26400
2018,COMBITA,DOBLE PROPOSITO,10,1000,10000
2018,COPER,LECHERIA ESPECIALIZADA,10,80,800
2018,COPER,LECHERIA TRADICIONAL,3,350,1050
2018,COPER,DOBLE PROPOSITO,2,120,240
2018,CORRALES,LECHERIA ESPECIALIZADA,12,40,480
2018,CORRALES,LECHERIA TRADICIONAL,10,40,400
2018,CORRALES,DOBLE PROPOSITO,9,70,630
2018,COVARACHIA,LECHERIA ESPECIALIZADA,,,
2018,COVARACHIA,LECHERIA TRADICIONAL,5,400,2000
2018,COVARACHIA,DOBLE PROPOSITO,5,200,1000
2018,CUBARA,LECHERIA ESPECIALIZADA,,,
2018,CUBARA,LECHERIA TRADICIONAL,4,1300,5200
2018,CUBARA,DOBLE PROPOSITO,7,3750,26250
2018,CUCAITA,LECHERIA ESPECIALIZADA,10,70,700
2018,CUCAITA,LECHERIA TRADICIONAL,7,300,2100
2018,CUCAITA,DOBLE PROPOSITO,8,350,2800
2018,CUITIVA,LECHERIA ESPECIALIZADA,,,
2018,CUITIVA,LECHERIA TRADICIONAL,15,100,1500
2018,CUITIVA,DOBLE PROPOSITO,10,225,2250
2018,DUITAMA,LECHERIA ESPECIALIZADA,14,2500,35000
2018,DUITAMA,LECHERIA TRADICIONAL,3,1000,3000
2018,DUITAMA,DOBLE PROPOSITO,6,3500,21000
2018,SACHICA,DOBLE PROPOSITO,,,
2018,EL COCUY,LECHERIA ESPECIALIZADA,,,
2018,EL COCUY,LECHERIA TRADICIONAL,,,
2018,EL COCUY,DOBLE PROPOSITO,7,2500,17500
2018,EL ESPINO,LECHERIA ESPECIALIZADA,,,
2018,EL ESPINO,LECHERIA TRADICIONAL,,,
2018,EL ESPINO,DOBLE PROPOSITO,6,1050,6300
2018,FIRAVITOBA,LECHERIA ESPECIALIZADA,15,1310,19650
2018,FIRAVITOBA,LECHERIA TRADICIONAL,8,2100,16800
